index,title
0,Four Rooms
1,Judgment Night
2,Star Wars
3,Finding Nemo
4,Forrest Gump
5,American Beauty
6,Citizen Kane
7,Dancer in the Dark
8,The Fifth Element
9,Metropolis
10,My Life Without Me
11,Pirates of the Caribbean: The Curse of the Black Pearl
12,Kill Bill: Vol. 1
13,Jarhead
14,Walk on Water
15,9 Songs
16,Apocalypse Now
17,Unforgiven
18,The Simpsons Movie
19,Eternal Sunshine of the Spotless Mind
20,Amores Perros
21,Pirates of the Caribbean: Dead Man's Chest
22,A History of Violence
23,2001: A Space Odyssey
24,Twelve Monkeys
25,8 Mile
26,Absolute Power
27,Paradise Now
28,Brazil
29,Walk the Line
30,Million Dollar Baby
31,Billy Elliot
32,American History X
33,War of the Worlds
34,Mars Attacks!
35,Before Sunrise
36,Memento
37,Blade Runner
38,Hero
39,Before Sunset
40,Nausicaä of the Valley of the Wind
41,Miami Vice
42,Open Water
43,Raiders of the Lost Ark
44,Indiana Jones and the Temple of Doom
45,Dirty Dancing
46,Indiana Jones and the Last Crusade
47,Beverly Hills Cop
48,Anatomy of a Murder
49,Armageddon
50,Beverly Hills Cop II
51,Tron
52,Gladiator
53,All About My Mother
54,"Lock, Stock and Two Smoking Barrels"
55,Léon: The Professional
56,Taxi Driver
57,Run Lola Run
58,Back to the Future
59,Predator
60,Snatch
61,Scarface
62,Italian for Beginners
63,Pretty Woman
64,The Big Lebowski
65,Match Point
66,The Untouchables
67,Charlie and the Chocolate Factory
68,The Lord of the Rings: The Fellowship of the Ring
69,The Lord of the Rings: The Two Towers
70,The Lord of the Rings: The Return of the King
71,The Lord of the Rings
72,Princess Mononoke
73,Spirited Away
74,"O Brother, Where Art Thou?"
75,Groundhog Day
76,Dracula
77,Bad Education
78,Donnie Darko
79,Brokeback Mountain
80,All Quiet on the Western Front
81,Wings of Desire
82,Breaking the Waves
83,"Crouching Tiger, Hidden Dragon"
84,Akira
85,48 Hrs.
86,Star Trek: The Motion Picture
87,Lost in Translation
88,Star Trek II: The Wrath of Khan
89,The Dark Knight
90,Star Trek III: The Search for Spock
91,Ocean's Eleven
92,Edward Scissorhands
93,Ocean's Twelve
94,Breakfast at Tiffany's
95,Back to the Future Part II
96,K-PAX
97,Star Trek IV: The Voyage Home
98,Predator 2
99,28 Days Later
100,Star Trek V: The Final Frontier
101,"20,000 Leagues Under the Sea"
102,Star Trek VI: The Undiscovered Country
103,Saw
104,The Fisher King
105,Blown Away
106,The Interpreter
107,Minority Report
108,The Good German
109,The Wizard
110,Jackie Brown
111,A Clockwork Orange
112,Lucky Number Slevin
113,Sin City
114,Sin City: A Dame to Kill For
115,The Name of the Rose
116,Star Trek: Generations
117,Amélie
118,Back to the Future Part III
119,Braveheart
120,To Be or Not to Be
121,Star Trek: First Contact
122,Star Trek: Insurrection
123,Star Trek: Nemesis
124,Mean Streets
125,Hotel Rwanda
126,Dead Poets Society
127,North by Northwest
128,Saw III
129,Saw II
130,Indiana Jones and the Kingdom of the Crystal Skull
131,The Terminator
132,Volver
133,Rebel Without a Cause
134,Rebecca
135,Boys Don't Cry
136,The Outsiders
137,Bride of Frankenstein
138,Syriana
139,Rumble Fish
140,The Cabinet of Dr. Caligari
141,Stand by Me
142,Muriel's Wedding
143,Young Adam
144,The Godfather
145,Some Like It Hot
146,The Godfather Part II
147,Natural Born Killers
148,The Godfather Part III
149,High Fidelity
150,King Kong
151,About a Boy
152,Zatoichi
153,Pocketful of Miracles
154,The War of the Roses
155,Ghost
156,Willy Wonka & the Chocolate Factory
157,Live and Let Die
158,King Kong
159,Stolen Kisses
160,Oliver Twist
161,Cat on a Hot Tin Roof
162,The King of Comedy
163,Contempt
164,Batman
165,Batman Begins
166,The Silence of the Lambs
167,Fargo
168,Underworld
169,The Shawshank Redemption
170,Amadeus
171,Terminator 2: Judgment Day
172,Strange Days
173,The Apartment
174,Pirates of the Caribbean: At World's End
175,Bull Durham
176,High Noon
177,Casablanca
178,Barton Fink
179,Riding Giants
180,Dave Chappelle's Block Party
181,A River Runs Through It
182,Desert Hearts
183,Terminator 3: Rise of the Machines
184,Meet Joe Black
185,Ocean's Thirteen
186,The Science of Sleep
187,Rio Bravo
188,Swimming Pool
189,Notorious
190,Beverly Hills Cop III
191,"Rome, Open City"
192,Broken Flowers
193,Bruce Almighty
194,Once Upon a Time in America
195,Snow Cake
196,Catwoman
197,"Faster, Pussycat! Kill! Kill!"
198,The Million Dollar Hotel
199,True Romance
200,Insomnia
201,Mambo Italiano
202,Mystic River
203,Snakes on a Plane
204,Brother
205,Jurassic Park
206,The Lost World: Jurassic Park
207,Jurassic Park III
208,Inspector Gadget
209,Magnolia
210,Once Upon a Time in the West
211,"Good Bye, Lenin!"
212,Night on Earth
213,Everything Is Illuminated
214,Summer Storm
215,Eyes Wide Shut
216,Seven Samurai
217,Alien
218,The Devil Wears Prada
219,Batman Returns
220,A Nightmare on Elm Street
221,Raising Arizona
222,Miller's Crossing
223,Rain Man
224,To Catch a Thief
225,Das Boot
226,Inside Man
227,12 Angry Men
228,A Fistful of Dollars
229,Chocolat
230,Kill Bill: Vol. 2
231,AVP: Alien vs. Predator
232,Who's Afraid of Virginia Woolf?
233,Capote
234,Things to Do in Denver When You're Dead
235,Garden State
236,Basic Instinct
237,Driving Miss Daisy
238,The Straight Story
239,La Haine
240,Snow White and the Seven Dwarfs
241,The English Patient
242,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
243,Batman Forever
244,Batman & Robin
245,The Life Aquatic with Steve Zissou
246,The Pianist
247,Schindler's List
248,Ice Age
249,Vertigo
250,"The Good, the Bad and the Ugly"
251,"One, Two, Three"
252,Cube
253,Mary Poppins
254,The Day After Tomorrow
255,Maria Full of Grace
256,Aliens vs Predator: Requiem
257,Human Nature
258,Popular Music
259,Caché
260,Leaving Las Vegas
261,The Idiots
262,A Beautiful Mind
263,Romeo + Juliet
264,Bend It Like Beckham
265,Erin Brockovich
266,Klute
267,The Hole
268,My Own Private Idaho
269,21 Grams
270,Pi
271,Bonnie and Clyde
272,Drugstore Cowboy
273,Shaft
274,Monsoon Wedding
275,Shaft
276,Wild at Heart
277,The African Queen
278,Good Will Hunting
279,The Seventh Seal
280,Being John Malkovich
281,Shaft's Big Score!
282,Shaft in Africa
283,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
284,The Green Mile
285,Reservoir Dogs
286,Poseidon
287,Monster
288,Johnny Handsome
289,Marnie
290,Killing Zoe
291,Love Actually
292,Notting Hill
293,One Flew Over the Cuckoo's Nest
294,Scoop
295,Dial M for Murder
296,Ed Wood
297,Casino
298,The Blues Brothers
299,Ladyhawke
300,Once Were Warriors
301,A Grand Day Out
302,Wallace & Gromit: The Curse of the Were-Rabbit
303,Terminator Salvation
304,Flashdance
305,Psycho
306,The Man with the Golden Arm
307,There's Something About Mary
308,Transamerica
309,The Horse Whisperer
