id,title,tags,cluster
5,Four Rooms,"Comedy, Crime, Quinn Hellerman, Lawrence Bender, Tim Roth, Allison Anders, Robert Rodriguez, Alexandre Rockwell, Quentin Tarantino",6
6,Judgment Night,"Action, Crime, Thriller, Michael Scranton, Hank McGill, Donovan D. Ross, Stephen Hopkins",2
11,Star Wars,"Adventure, Action, Science Fiction, Paul Blake, Hal Wamsley, David Prowse, George Lucas",4
12,Finding Nemo,"Animation, Family, Jeff Pidgeon, Danny Mann, Jessie Flower, Andrew Stanton",7
13,Forrest Gump,"Comedy, Drama, Romance, Margo Moorer, Joe Stefanelli, Ed Davis, Robert Zemeckis",6
14,American Beauty,"Drama, Peter Gallagher, Mona Leah, Chris Cooper, Sam Mendes",3
15,Citizen Kane,"Mystery, Drama, Edmund Cobb, Herman J. Mankiewicz, Harry Burkhardt, Orson Welles",3
16,Dancer in the Dark,"Drama, Crime, Cristian Valle, Nick Wolf, Diana G.L. Watson, Lars von Trier",3
18,The Fifth Element,"Science Fiction, Action, Adventure, Peter Dunwell, Eddie Ellwood, Kamay Lau, Luc Besson",4
19,Metropolis,"Drama, Science Fiction, Curt Siodmak, Gottfried Huppertz, Rolf von Goth, Fritz Lang",3
20,My Life Without Me,"Drama, Romance, Leonor Watling, Kenya Jo Kennedy, Jessica Amlee, Isabel Coixet",0
22,Pirates of the Caribbean: The Curse of the Black Pearl,"Adventure, Fantasy, Action, Dustin Seavey, Christopher Sullivan, Martin Klebba, Gore Verbinski",1
24,Kill Bill: Vol. 1,"Action, Crime, Michael Madsen, Shu Lan Tuan, Akaji Maro, Quentin Tarantino",2
25,Jarhead,"Drama, War, Kareem J. Grimes, Laz Alonso, Craig Coyne, Sam Mendes",3
26,Walk on Water,"Drama, Lior Ashkenazi, Gideon Shemer, Carola Regnier, Eytan Fox",3
27,9 Songs,"Drama, Music, Romance, Gruff Rhys, Marcie Bolen, Courtney Taylor-Taylor, Michael Winterbottom",0
28,Apocalypse Now,"Drama, War, Linda Carpenter, Jerry Ross, Charles Robinson, Francis Ford Coppola",3
33,Unforgiven,"Western, David Mucci, Jefferson Mappin, Ron White, Clint Eastwood",3
35,The Simpsons Movie,"Animation, Comedy, Family, Marcia Wallace, Russi Taylor, Yeardley Smith, David Silverman",7
38,Eternal Sunshine of the Spotless Mind,"Science Fiction, Drama, Romance, David Cross, Deirdre O'Connell, Paulie Litt, Michel Gondry",0
55,Amores Perros,"Drama, Thriller, Heriberto del Castillo, Roberto Medina, Mauricio Martínez, Alejandro González Iñárritu",3
58,Pirates of the Caribbean: Dead Man's Chest,"Adventure, Fantasy, Action, Matthew Bowyer, Michael Enright, Bill Nighy, Gore Verbinski",1
59,A History of Violence,"Drama, Thriller, Crime, Ashton Holmes, William Hurt, Shawn Campbell, David Cronenberg",2
62,2001: A Space Odyssey,"Science Fiction, Mystery, Adventure, John Ashley, Kim Neil, David Fleetwood, Stanley Kubrick",4
63,Twelve Monkeys,"Science Fiction, Thriller, Mystery, Rozwill Young, Bruce Kirkpatrick, Kevin Thigpen, Terry Gilliam",4
65,8 Mile,"Drama, Music, Strike, Larry Hudson, Proof, Curtis Hanson",3
66,Absolute Power,"Crime, Drama, Action, Kimber Eastwood, John Lyle Campbell, Robert Harvey, Clint Eastwood",2
67,Paradise Now,"Crime, Thriller, Drama, War, Lubna Azabal, Nour Abd El-Hadi, Lutuf Nouasser, Hany Abu-Assad",2
68,Brazil,"Comedy, Science Fiction, Ian Holm, Nigel Planer, Derrick O'Connor, Terry Gilliam",6
69,Walk the Line,"Drama, Music, Romance, Jeff Bailey, Robert Patrick, Delaney Keefe, James Mangold",0
70,Million Dollar Baby,"Drama, David Powledge, Margo Martindale, Boni Yanagisawa, Clint Eastwood",3
71,Billy Elliot,"Drama, Comedy, Music, Sharon Percy, Petra Siniawski, Liam Elcoat, Stephen Daldry",6
73,American History X,"Drama, Jennifer Lien, Alexis Rose Coen, Keith Odett, Tony Kaye",3
74,War of the Worlds,"Adventure, Thriller, Science Fiction, Mariann Mayberry, Johnny Kastl, Vladislav Kozlov, Steven Spielberg",4
75,Mars Attacks!,"Comedy, Fantasy, Science Fiction, Tommy Bush, Christina Applegate, Jack Black, Tim Burton",6
76,Before Sunrise,"Drama, Romance, John Sloss, Adam Goldberg, Erni Mangold, Richard Linklater",0
77,Memento,"Mystery, Thriller, Thomas Lennon, Kimberly Campbell, Carrie-Anne Moss, Christopher Nolan",3
78,Blade Runner,"Science Fiction, Drama, Thriller, Kevin Thompson, Joanna Cassidy, Alexis Rhee, Ridley Scott",3
79,Hero,"Drama, Adventure, Action, History, Chang Xiao Yang, Maggie Cheung, Zheng Tianyong, Zhang Yimou",1
80,Before Sunset,"Drama, Romance, Rodolphe Pauly, Ethan Hawke, Louise Lemoine Torrès, Richard Linklater",0
81,Nausicaä of the Valley of the Wind,"Adventure, Animation, Fantasy, Yoshiko Sakakibara, TARAKO, Masako Sugaya, Hayao Miyazaki",7
82,Miami Vice,"Action, Crime, Thriller, Tony Curran, Julia Perevedentseva, Maxim Danilov, Michael Mann",2
83,Open Water,"Drama, Thriller, Horror, Daniel Travis, Saul Stein, John Charles, Chris Kentis",3
85,Raiders of the Lost Ark,"Adventure, Action, Nick Gillard, Kiran Shah, Reg Harding, Steven Spielberg",1
87,Indiana Jones and the Temple of Doom,"Adventure, Action, Ric Young, Arjun Pandher, Dan Aykroyd, Steven Spielberg",1
88,Dirty Dancing,"Drama, Music, Romance, ""Cousin Brucie"" Morrow, Wayne Knight, Clifford Watkins, Emile Ardolino",0
89,Indiana Jones and the Last Crusade,"Adventure, Action, Eugene Lipinski, Bert Crome, Alison Doody, Steven Spielberg",1
90,Beverly Hills Cop,"Comedy, Crime, Action, John Achorn, James Russo, Carl Weintraub, Martin Brest",2
93,Anatomy of a Murder,"Crime, Drama, Mystery, James Stewart, Chuck Ramsay, Royal Beal, Otto Preminger",3
95,Armageddon,"Action, Thriller, Science Fiction, Adventure, Anthony Guidera, Bruce Willis, Wolfgang Muser, Michael Bay",4
96,Beverly Hills Cop II,"Action, Comedy, Crime, Rudy Ramos, Dayna O'Brien, Brian O'Connor, Tony Scott",2
97,Tron,"Science Fiction, Action, Adventure, Michael Dudikoff, Dan Shor, Barnard Hughes, Steven Lisberger",4
98,Gladiator,"Action, Drama, Adventure, Antone Pagán, Tomas Arana, Norman Campbell Rees, Ridley Scott",1
99,All About My Mother,"Comedy, Drama, Malena Gutiérrez, Yael Barnatán, Michel Ruben, Pedro Almodóvar",6
100,"Lock, Stock and Two Smoking Barrels","Comedy, Crime, Steven Mackintosh, Andrew Tiernan, Dexter Fletcher, Guy Ritchie",6
101,Léon: The Professional,"Crime, Drama, Action, Gary Oldman, George Martin, Betty Miller, Luc Besson",2
103,Taxi Driver,"Crime, Drama, Beau Kayser, Jean Elliott, Tommy Ardolino, Martin Scorsese",3
104,Run Lola Run,"Action, Drama, Thriller, Herbert Knaup, Moritz Bleibtreu, Heino Ferch, Tom Tykwer",2
105,Back to the Future,"Adventure, Comedy, Science Fiction, Jamie Abbott, Marc McClure, Casey Siemaszko, Robert Zemeckis",4
106,Predator,"Science Fiction, Action, Adventure, Thriller, Bill Duke, Franco Columbu, Steve Boyum, John McTiernan",4
107,Snatch,"Crime, Comedy, Peter Szakacs, Sorcha Cusack, Teena Collins, Guy Ritchie",6
111,Scarface,"Action, Crime, Drama, Paul Shenar, John Gamble, Geno Silva, Brian De Palma",2
112,Italian for Beginners,"Comedy, Drama, Romance, Jesper Christensen, Bent Mejding, Rikke Wölck, Lone Scherfig",6
114,Pretty Woman,"Romance, Comedy, Abdul Salaam El Razzac, Gary Bohn, Jackie O'Brien, Garry Marshall",6
115,The Big Lebowski,"Comedy, Crime, Jesse Flanagan, Jon Polito, Marshall Manesh, Joel Coen",6
116,Match Point,"Drama, Thriller, Crime, Romance, Geoffrey Streatfeild, Zoe Telford, Emily Mortimer, Woody Allen",2
117,The Untouchables,"Crime, History, Thriller, Kaitlin Montgomery, Don Harvey, Vince Viverito, Brian De Palma",2
118,Charlie and the Chocolate Factory,"Adventure, Comedy, Family, Fantasy, Jordan Fry, Kevin Eldon, Nayef Rashed, Tim Burton",7
120,The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action, Timothy Bartlett, Billy Boyd, Siaosi Fonua, Peter Jackson",1
121,The Lord of the Rings: The Two Towers,"Adventure, Fantasy, Action, Mana Hira Davis, Liv Tyler, Orlando Bloom, Peter Jackson",1
122,The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action, Alistair Browning, Jason Fitch, Liv Tyler, Peter Jackson",1
123,The Lord of the Rings,"Adventure, Animation, Fantasy, Billy Barty, Chuck Hayward, Mel Smith, Ralph Bakshi",7
128,Princess Mononoke,"Adventure, Fantasy, Animation, Yuriko Ishida, Daikichi Sugawara, Akira Nagoya, Hayao Miyazaki",7
129,Spirited Away,"Animation, Family, Fantasy, Akiko Tomihira, Yoshitaka Sukegawa, Tsunehiko Kamijô, Hayao Miyazaki",7
134,"O Brother, Where Art Thou?","Adventure, Comedy, Crime, Wayne Duvall, Holly Hunter, Christy Taylor, Joel Coen",6
137,Groundhog Day,"Romance, Fantasy, Drama, Comedy, Tom Milanovich, Evangeline Binkley, Reni Santoni, Harold Ramis",6
138,Dracula,"Horror, William A. Boardway, Geraldine Dvorak, Tod Browning, Tod Browning",3
140,Bad Education,"Drama, Crime, Francisco Maestre, Sara Montiel, Alberto Ferreiro, Pedro Almodóvar",3
141,Donnie Darko,"Fantasy, Drama, Mystery, David St. James, Ashley Tisdale, Jack Salvatore, Richard Kelly",3
142,Brokeback Mountain,"Drama, Romance, David Trimble, Christian Fraser, Gary Lauder, Ang Lee",0
143,All Quiet on the Western Front,"Drama, War, Daisy Belmore, Walter Rogers, Beryl Mercer, Lewis Milestone",3
144,Wings of Desire,"Drama, Fantasy, Romance, Chick Ortega, Mick Harvey, Jochen Gliscinsky, Wim Wenders",0
145,Breaking the Waves,"Drama, Romance, Brian Smith, Dorte Rømer, Finlay Welsh, Lars von Trier",0
146,"Crouching Tiger, Hidden Dragon","Adventure, Drama, Action, Romance, Dong Changsheng, Yang Yongde, Zhang Ziyi, Ang Lee",1
149,Akira,"Animation, Science Fiction, Action, Travis Weaver, Fukue Itô, Tarô Arakawa, Katsuhiro Otomo",4
150,48 Hrs.,"Thriller, Action, Comedy, Crime, Drama, Clint Smith, B. G. Fisher, Dave Moordigian, Walter Hill",2
152,Star Trek: The Motion Picture,"Science Fiction, Adventure, Mystery, William Shatner, Tony Rocco, Sayra Hummel, Robert Wise",4
153,Lost in Translation,"Drama, Romance, Comedy, Osamu Shigematu, Gregory Pekar, Hiroko Kawasaki, Sofia Coppola",6
154,Star Trek II: The Wrath of Khan,"Action, Adventure, Science Fiction, Thriller, William Shatner, Ricardo Montalban, Paul Kent, Nicholas Meyer",4
155,The Dark Knight,"Drama, Action, Crime, Thriller, Maggie Gyllenhaal, Peter Rnic, Charles Venn, Christopher Nolan",2
157,Star Trek III: The Search for Spock,"Science Fiction, Action, Adventure, Thriller, Scott McGinnis, William Shatner, Stephen Manley, Leonard Nimoy",4
161,Ocean's Eleven,"Thriller, Crime, Jim Lampley, Richard Steele, Mark Gantt, Steven Soderbergh",2
162,Edward Scissorhands,"Fantasy, Drama, Romance, Kathy Baker, Jalaine Gallion, Marti Greenberg, Tim Burton",0
163,Ocean's Twelve,"Thriller, Crime, Adriano Giannini, Chris Tates, David Sontag, Steven Soderbergh",2
164,Breakfast at Tiffany's,"Comedy, Romance, Drama, Orangey the Cat, Frank Kreig, Christine Corbin, Blake Edwards",6
165,Back to the Future Part II,"Adventure, Comedy, Science Fiction, Elijah Wood, Stephanie Williams, Christopher Lloyd, Robert Zemeckis",4
167,K-PAX,"Science Fiction, Drama, Mystery, Peter Maloney, Frank Collison, Conchata Ferrell, Iain Softley",3
168,Star Trek IV: The Voyage Home,"Science Fiction, Adventure, Scott Devenney, William Shatner, Michael Snyder, Leonard Nimoy",4
